Year,Count
2004,274
2005,304
2006,311
2007,345
2008,423
2009,251
2010,207
2011,316
2012,350
2013,296
2014,235
2015,303
2016,356
2017,608
2018,412
2019,310
2020,504
2021,385
2022,306
2023,284
