Type,Sum,Percent,Average Area
Electric systems,313,4.616519174041298,4403.210432543834
Campers,179,2.640117994100295,3842.86891146581
Other recorded causes,4350,64.15929203539822,2920.1463173852617
Known,4842,71.41592920353982,3050.1269890880812
